Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.123,-4.4,4,1,299,4.98,0.80,"4334.08, 7664.06, 8047.63, 4877.82",0.16,0.6,0,,,,0.8125,0.1630434783,16
3.124,-4.5,4,1,105,1.75,2.29,"4334.08, 7664.06, 8047.63, 4877.82",0.43,0.5,4,trigger to next,,,0.75,0.4285714286,43
3.13,-5.1,5,1,875,14.58,0.34,"7737.44, 8338.27, 7328.21, 6185.07, 5477.53",0.07,0.85,0,,,,1,0.06857142857,7
3.131,-5.2,5,1,700,11.67,0.43,"7737.44, 8338.27, 7328.21, 6185.07, 5477.53",0.08,0.75,0,,,,0.9375,0.08035714286,8
3.132,-5.3,5,1,490,8.17,0.61,"7737.44, 8338.27, 7328.21, 6185.07, 5477.53",0.11,0.65,0,,,,0.875,0.1071428571,11
3.133,-5.4,5,1,269,4.48,1.12,"7737.44, 8338.27, 7328.21, 6185.07, 5477.53",0.18,0.55,0,,,,0.8125,0.1812267658,18
3.134,-5.5,5,1,94,1.57,3.19,"7737.44, 8338.27, 7328.21, 6185.07, 5477.53",0.48,0.45,4,trigger to next,,,0.75,0.4787234043,48
3.14,-6.1,6,1,787,13.12,0.46,"4330.33, 5607.6, 4384.88, 4623.99, 5978.93, 4714.36",0.08,0.8,0,,,,1,0.07623888183,8
3.141,-6.2,6,1,630,10.50,0.57,"4330.33, 5607.6, 4384.88, 4623.99, 5978.93, 4714.36",0.09,0.7,0,,,,0.9375,0.08928571429,9
3.142,-6.3,6,1,441,7.35,0.82,"4330.33, 5607.6, 4384.88, 4623.99, 5978.93, 4714.36",0.12,0.6,0,,,,0.875,0.119047619,12
3.143,-6.4,6,1,242,4.03,1.49,"4330.33, 5607.6, 4384.88, 4623.99, 5978.93, 4714.36",0.2,0.5,0,,,,0.8125,0.201446281,20
3.144,-6.5,6,1,85,1.42,4.24,"4330.33, 5607.6, 4384.88, 4623.99, 5978.93, 4714.36",0.53,0.4,4,trigger to next,,,0.75,0.5294117647,53
3.15,-7.1,7,1,709,11.82,0.59,"4551.83, 7423.66, 5150.7, 8467.84, 4106.64, 4400.01, 6163.49",0.08,0.75,0,,,,1,0.08462623413,8
3.151,-7.2,7,1,567,9.45,0.74,"4551.83, 7423.66, 5150.7, 8467.84, 4106.64, 4400.01, 6163.49",0.1,0.65,0,,,,0.9375,0.09920634921,10
3.152,-7.3,7,1,397,6.62,1.06,"4551.83, 7423.66, 5150.7, 8467.84, 4106.64, 4400.01, 6163.49",0.13,0.55,0,,,,0.875,0.1322418136,13
3.153,-7.4,7,1,218,3.63,1.93,"4551.83, 7423.66, 5150.7, 8467.84, 4106.64, 4400.01, 6163.49",0.22,0.45,0,,,,0.8125,0.2236238532,22
3.154,-7.5,7,1,76,1.27,5.53,"4551.83, 7423.66, 5150.7, 8467.84, 4106.64, 4400.01, 6163.49",0.59,0.35,4,trigger to next,,,0.75,0.5921052632,59
3.16,-8.1,8,1,638,10.63,0.75,"7948.04, 6303.61, 8891.48, 8519.02, 5497.12, 4675.06, 6426.86, 5622.66",0.09,0.7,0,,,,1,0.09404388715,9
3.161,-8.2,8,1,510,8.50,0.94,"7948.04, 6303.61, 8891.48, 8519.02, 5497.12, 4675.06, 6426.86, 5622.66",0.11,0.6,0,,,,0.9375,0.1102941176,11
3.162,-8.3,8,1,357,5.95,1.34,"7948.04, 6303.61, 8891.48, 8519.02, 5497.12, 4675.06, 6426.86, 5622.66",0.15,0.5,0,,,,0.875,0.1470588235,15
3.163,-8.4,8,1,196,3.27,2.45,"7948.04, 6303.61, 8891.48, 8519.02, 5497.12, 4675.06, 6426.86, 5622.66",0.25,0.4,0,,,,0.8125,0.2487244898,25
3.164,-8.5,8,1,69,1.15,6.96,"7948.04, 6303.61, 8891.48, 8519.02, 5497.12, 4675.06, 6426.86, 5622.66",0.65,0.3,4,trigger to next,,,0.75,0.652173913,65
3.17,-10.1,10,1,574,9.57,1.05,"4852.74, 5246.15, 4534.32, 4320.53, 6174.34, 7339.13, 8747.79, 6570.3, 5011.6, 7436.65",0.1,0.65,0,,,,1,0.1045296167,10
3.171,-10.2,10,1,459,7.65,1.31,"4852.74, 5246.15, 4534.32, 4320.53, 6174.34, 7339.13, 8747.79, 6570.3, 5011.6, 7436.65",0.12,0.55,0,,,,0.9375,0.1225490196,12
3.172,-10.3,10,1,321,5.35,1.87,"4852.74, 5246.15, 4534.32, 4320.53, 6174.34, 7339.13, 8747.79, 6570.3, 5011.6, 7436.65",0.16,0.45,0,,,,0.875,0.1635514019,16
3.173,-10.4,10,1,177,2.95,3.39,"4852.74, 5246.15, 4534.32, 4320.53, 6174.34, 7339.13, 8747.79, 6570.3, 5011.6, 7436.65",0.28,0.35,0,,,,0.8125,0.2754237288,28
3.174,-10.5,10,1,62,1.03,9.68,"4852.74, 5246.15, 4534.32, 4320.53, 6174.34, 7339.13, 8747.79, 6570.3, 5011.6, 7436.65",0.73,0.25,4,trigger to next,,,0.75,0.7258064516,73
3.18,-12.1,12,1,517,8.62,1.39,"7529.11, 4649.26, 5939.73, 5378.86, 4097.64, 8960.4, 6134.33, 8974.44, 8961.65, 7041.93, 8729.83, 8710.04",0.12,0.6,0,,,,1,0.1160541586,12
3.181,-12.2,12,1,413,6.88,1.74,"7529.11, 4649.26, 5939.73, 5378.86, 4097.64, 8960.4, 6134.33, 8974.44, 8961.65, 7041.93, 8729.83, 8710.04",0.13,0.5,0,,,,0.925,0.1343825666,13
3.182,-12.3,12,1,289,4.82,2.49,"7529.11, 4649.26, 5939.73, 5378.86, 4097.64, 8960.4, 6134.33, 8974.44, 8961.65, 7041.93, 8729.83, 8710.04",0.18,0.4,0,,,,0.85,0.1764705882,18
